datetime,Price,Volume,Settlement Period,hour,quarter,year,dayofyear,dayofmonth,weekofyear,SAP,EU_ETS,Gas,INDO
3/12/2023 5:30,45.13,564.5,12,5,1,2023,71,12,11,25.05,1.807779752,30.16477975,26832
3/12/2023 6:00,49.08,802.65,13,6,1,2023,71,12,11,25.05,1.807779752,30.16477975,30214
3/12/2023 6:30,47.2,822.05,14,6,1,2023,71,12,11,25.05,1.807779752,30.16477975,33105
3/12/2023 7:00,46.76,684.1,15,7,1,2023,71,12,11,25.05,1.807779752,30.16477975,36494
3/12/2023 7:30,49.97,848.45,16,7,1,2023,71,12,11,25.05,1.807779752,30.16477975,38166
3/12/2023 8:00,47.96,676.9,17,8,1,2023,71,12,11,25.05,1.807779752,30.16477975,39123
3/12/2023 8:30,46.27,688.95,18,8,1,2023,71,12,11,25.05,1.807779752,30.16477975,39457
3/12/2023 9:00,50.34,1192.45,19,9,1,2023,71,12,11,25.05,1.807779752,30.16477975,40353
3/12/2023 9:30,52.91,1290,20,9,1,2023,71,12,11,25.05,1.807779752,30.16477975,40642
3/12/2023 10:00,53.33,1112.6,21,10,1,2023,71,12,11,25.05,1.807779752,30.16477975,40734
3/12/2023 10:30,52.74,1346.2,22,10,1,2023,71,12,11,25.05,1.807779752,30.16477975,40739
3/12/2023 11:00,58.82,1428.1,23,11,1,2023,71,12,11,25.05,1.807779752,30.16477975,40827
3/12/2023 11:30,59.18,1563.1,24,11,1,2023,71,12,11,25.05,1.807779752,30.16477975,40946
3/12/2023 12:00,59.75,1536.6,25,12,1,2023,71,12,11,25.05,1.807779752,30.16477975,41267
3/12/2023 12:30,59.94,1539.35,26,12,1,2023,71,12,11,25.05,1.807779752,30.16477975,41147
3/12/2023 13:00,59.87,1360.75,27,13,1,2023,71,12,11,25.05,1.807779752,30.16477975,40998
3/12/2023 13:30,58.2,1382.5,28,13,1,2023,71,12,11,25.05,1.807779752,30.16477975,40865
3/12/2023 14:00,58.79,1604.1,29,14,1,2023,71,12,11,25.05,1.807779752,30.16477975,40828
3/12/2023 14:30,57.86,1568.6,30,14,1,2023,71,12,11,25.05,1.807779752,30.16477975,40618
3/12/2023 15:00,60.8,1293.15,31,15,1,2023,71,12,11,25.05,1.807779752,30.16477975,40628
3/12/2023 15:30,60.18,1248.4,32,15,1,2023,71,12,11,25.05,1.807779752,30.16477975,41300
3/12/2023 16:00,60.31,1850.45,33,16,1,2023,71,12,11,25.05,1.807779752,30.16477975,42138
3/12/2023 16:30,66.22,1818.8,34,16,1,2023,71,12,11,25.05,1.807779752,30.16477975,43063
3/12/2023 17:00,74.37,1717,35,17,1,2023,71,12,11,25.05,1.807779752,30.16477975,43888
3/12/2023 17:30,75.29,1692,36,17,1,2023,71,12,11,25.05,1.807779752,30.16477975,44380
3/12/2023 18:00,76.73,1629.85,37,18,1,2023,71,12,11,25.05,1.807779752,30.16477975,45226
3/12/2023 18:30,77.2,1647.8,38,18,1,2023,71,12,11,25.05,1.807779752,30.16477975,45418
3/12/2023 19:00,65.94,2106.3,39,19,1,2023,71,12,11,25.05,1.807779752,30.16477975,44658
3/12/2023 19:30,65.03,2344,40,19,1,2023,71,12,11,25.05,1.807779752,30.16477975,43383
3/12/2023 20:00,57.99,2594.1,41,20,1,2023,71,12,11,25.05,1.807779752,30.16477975,42237
3/12/2023 20:30,59.17,2455.6,42,20,1,2023,71,12,11,25.05,1.807779752,30.16477975,40466
3/12/2023 21:00,60.61,3332.7,43,21,1,2023,71,12,11,25.05,1.807779752,30.16477975,38563
3/12/2023 21:30,59.72,3219.05,44,21,1,2023,71,12,11,25.05,1.807779752,30.16477975,36326
3/12/2023 22:00,59.97,3214.05,45,22,1,2023,71,12,11,25.05,1.807779752,30.16477975,34106
3/12/2023 22:30,58.44,3512,46,22,1,2023,71,12,11,25.05,1.807779752,30.16477975,32022
3/12/2023 23:00,55.56,382.95,47,23,1,2023,71,12,11,25.05,1.807779752,30.16477975,29964
3/12/2023 23:30,50.96,193.25,48,23,1,2023,71,12,11,25.05,1.807779752,30.16477975,28698
3/13/2023 0:00,55.19,208.5,1,0,1,2023,72,13,11,23.3,1.859623926,28.46862393,28532
3/13/2023 0:30,64.72,236.5,2,0,1,2023,72,13,11,23.3,1.859623926,28.46862393,28910
3/13/2023 1:00,64.02,263.05,3,1,1,2023,72,13,11,23.3,1.859623926,28.46862393,28901
3/13/2023 1:30,53.1,259.55,4,1,1,2023,72,13,11,23.3,1.859623926,28.46862393,28173
3/13/2023 2:00,56.96,135.5,5,2,1,2023,72,13,11,23.3,1.859623926,28.46862393,27687
3/13/2023 2:30,53.94,272.35,6,2,1,2023,72,13,11,23.3,1.859623926,28.46862393,27466
3/13/2023 3:00,49.96,321.25,7,3,1,2023,72,13,11,23.3,1.859623926,28.46862393,27089
3/13/2023 3:30,49.17,251,8,3,1,2023,72,13,11,23.3,1.859623926,28.46862393,26709
3/13/2023 4:00,49.08,406,9,4,1,2023,72,13,11,23.3,1.859623926,28.46862393,26449
3/13/2023 4:30,49.29,293.5,10,4,1,2023,72,13,11,23.3,1.859623926,28.46862393,26583
3/13/2023 5:00,50.95,201.45,11,5,1,2023,72,13,11,23.3,1.859623926,28.46862393,27453
3/13/2023 5:30,51.14,474.85,12,5,1,2023,72,13,11,23.3,1.859623926,28.46862393,28980
3/13/2023 6:00,59.68,791.15,13,6,1,2023,72,13,11,23.3,1.859623926,28.46862393,32283
3/13/2023 6:30,56.81,1021.7,14,6,1,2023,72,13,11,23.3,1.859623926,28.46862393,35107
3/13/2023 7:00,52.5,429.5,15,7,1,2023,72,13,11,23.3,1.859623926,28.46862393,38144
3/13/2023 7:30,58.57,447.7,16,7,1,2023,72,13,11,23.3,1.859623926,28.46862393,39261
3/13/2023 8:00,71.59,493.6,17,8,1,2023,72,13,11,23.3,1.859623926,28.46862393,39284
3/13/2023 8:30,79.07,569.6,18,8,1,2023,72,13,11,23.3,1.859623926,28.46862393,38901
3/13/2023 9:00,81.44,776.9,19,9,1,2023,72,13,11,23.3,1.859623926,28.46862393,39201
3/13/2023 9:30,78.19,865.2,20,9,1,2023,72,13,11,23.3,1.859623926,28.46862393,38966
3/13/2023 10:00,73.32,1023.05,21,10,1,2023,72,13,11,23.3,1.859623926,28.46862393,38311
3/13/2023 10:30,70.06,972.7,22,10,1,2023,72,13,11,23.3,1.859623926,28.46862393,38001
3/13/2023 11:00,54.76,706.6,23,11,1,2023,72,13,11,23.3,1.859623926,28.46862393,37898
3/13/2023 11:30,54.48,720.65,24,11,1,2023,72,13,11,23.3,1.859623926,28.46862393,37963
3/13/2023 12:00,54.19,779.15,25,12,1,2023,72,13,11,23.3,1.859623926,28.46862393,38103
3/13/2023 12:30,54.66,736.05,26,12,1,2023,72,13,11,23.3,1.859623926,28.46862393,37876
3/13/2023 13:00,53.8,859.05,27,13,1,2023,72,13,11,23.3,1.859623926,28.46862393,37645
3/13/2023 13:30,53.84,853.45,28,13,1,2023,72,13,11,23.3,1.859623926,28.46862393,37147
3/13/2023 14:00,53.65,911.75,29,14,1,2023,72,13,11,23.3,1.859623926,28.46862393,36993
3/13/2023 14:30,53.75,824.95,30,14,1,2023,72,13,11,23.3,1.859623926,28.46862393,36649
3/13/2023 15:30,60.71,1309.65,32,15,1,2023,72,13,11,23.3,1.859623926,28.46862393,37718
3/13/2023 16:00,60.9,1336.1,33,16,1,2023,72,13,11,23.3,1.859623926,28.46862393,39067
3/13/2023 16:30,60.91,1451.6,34,16,1,2023,72,13,11,23.3,1.859623926,28.46862393,40670
3/13/2023 17:00,69.08,1668,35,17,1,2023,72,13,11,23.3,1.859623926,28.46862393,41979
3/13/2023 17:30,74.15,1437.75,36,17,1,2023,72,13,11,23.3,1.859623926,28.46862393,42823
3/13/2023 18:00,89.29,1499.15,37,18,1,2023,72,13,11,23.3,1.859623926,28.46862393,44340
3/13/2023 18:30,100.84,1307.05,38,18,1,2023,72,13,11,23.3,1.859623926,28.46862393,45139
3/13/2023 20:00,64.13,742.5,41,20,1,2023,72,13,11,23.3,1.859623926,28.46862393,42580
3/13/2023 21:00,57.56,1305,43,21,1,2023,72,13,11,23.3,1.859623926,28.46862393,38713
3/13/2023 21:30,57.38,1477.4,44,21,1,2023,72,13,11,23.3,1.859623926,28.46862393,36475
3/13/2023 22:00,55.52,1174.6,45,22,1,2023,72,13,11,23.3,1.859623926,28.46862393,33946
3/13/2023 22:30,52.11,1627.8,46,22,1,2023,72,13,11,23.3,1.859623926,28.46862393,31855
3/13/2023 23:00,63.72,575.2,47,23,1,2023,72,13,11,23.3,1.859623926,28.46862393,29718
3/13/2023 23:30,69.31,442.8,48,23,1,2023,72,13,11,23.3,1.859623926,28.46862393,28439
3/14/2023 0:00,65.44,378.85,1,0,1,2023,73,14,11,20.8,1.823230519,25.93323052,27966
3/14/2023 0:30,68.81,410,2,0,1,2023,73,14,11,20.8,1.823230519,25.93323052,28281
3/14/2023 1:00,54.54,250.4,3,1,1,2023,73,14,11,20.8,1.823230519,25.93323052,27963
3/14/2023 1:30,45.23,224.45,4,1,1,2023,73,14,11,20.8,1.823230519,25.93323052,27285
3/14/2023 2:00,44.99,438.15,5,2,1,2023,73,14,11,20.8,1.823230519,25.93323052,26683
3/14/2023 2:30,43.78,416.6,6,2,1,2023,73,14,11,20.8,1.823230519,25.93323052,26464
3/14/2023 3:00,46.28,797.5,7,3,1,2023,73,14,11,20.8,1.823230519,25.93323052,26073
3/14/2023 3:30,45.68,869.35,8,3,1,2023,73,14,11,20.8,1.823230519,25.93323052,25628
3/14/2023 4:00,46.16,783.05,9,4,1,2023,73,14,11,20.8,1.823230519,25.93323052,25207
3/14/2023 4:30,45.42,859.65,10,4,1,2023,73,14,11,20.8,1.823230519,25.93323052,25217
3/14/2023 5:00,45.37,454.65,11,5,1,2023,73,14,11,20.8,1.823230519,25.93323052,25910
3/14/2023 5:30,47.34,587.6,12,5,1,2023,73,14,11,20.8,1.823230519,25.93323052,27253
3/14/2023 6:00,58.95,727.5,13,6,1,2023,73,14,11,20.8,1.823230519,25.93323052,30308
3/14/2023 6:30,54.33,821.3,14,6,1,2023,73,14,11,20.8,1.823230519,25.93323052,32916
